# c4d178e8-c59c-47dd-a36b-f2f9b135f00c
# 39b6245a9ad2c490252216ad921ee7f73e400580
# x_m, y_m, psi_rad
-22.1198149, 23.3604257, -1.5392201
-22.1106372, 23.1613215, -1.5101261
-22.0955023, 22.9615077, -1.4801476
-22.0744594, 22.7633802, -1.4497580
-22.0471955, 22.5648473, -1.4188220
-22.0139550, 22.3682821, -1.3876818
-21.9743939, 22.1719841, -1.3561111
-21.9287902, 21.9777045, -1.3243218
-21.8768760, 21.7845142, -1.2921779
-21.8188265, 21.5933413, -1.2598224
-21.7546201, 21.4040796, -1.2276806
-21.6843491, 21.2168716, -1.1959307
-21.6084422, 21.0321311, -1.1663576
-21.5271923, 20.8493387, -1.1391120
-21.4414122, 20.6690657, -1.1147104
-21.3513203, 20.4904287, -1.0931466
-21.2578835, 20.3140718, -1.0744907
-21.1611690, 20.1389050, -1.0586183
-21.0622455, 19.9656943, -1.0456365
-20.9610494, 19.7931610, -1.0355257
-20.8588933, 19.6224454, -1.0278076
-20.7549919, 19.4515838, -1.0212779
-20.6505939, 19.2821866, -1.0156887
-20.5449732, 19.1130290, -1.0094497
-20.4375080, 18.9434285, -1.0024883
-20.3302067, 18.7766747, -0.9955929
-20.2197850, 18.6076335, -0.9887503
-20.1103359, 18.4425104, -0.9821718
-19.9986056, 18.2763251, -0.9756185
-19.8856794, 18.1107006, -0.9691627
-19.7726124, 17.9470894, -0.9630716
-19.6571870, 17.7821755, -0.9572369
-19.5421526, 17.6197779, -0.9518092
-19.4257809, 17.4573010, -0.9467711
-19.3080403, 17.2945889, -0.9420856
-19.1905835, 17.1337833, -0.9378719
-19.0718657, 16.9726079, -0.9340858
-18.9525897, 16.8118803, -0.9307281
-18.8330535, 16.6518499, -0.9278364
-18.7129387, 16.4919362, -0.9253913
-18.5923852, 16.3321804, -0.9233828
-18.4716767, 16.1728134, -0.9218097
-18.3510309, 16.0139773, -0.9206690
-18.2294775, 15.8542571, -0.9199319
-18.1084759, 15.6954392, -0.9195937
-17.9874359, 15.5366162, -0.9196513
-17.8658122, 15.3769584, -0.9199909
-17.7453645, 15.2186920, -0.9205813
-17.6238814, 15.0588242, -0.9214440
-17.5029871, 14.8994030, -0.9225697
-17.3833155, 14.7411797, -0.9239661
-17.2619313, 14.5802302, -0.9252116
-17.1425080, 14.4215515, -0.9259577
-17.0222115, 14.2615323, -0.9264175
-16.9022661, 14.1017589, -0.9273387
-16.7830378, 13.9425457, -0.9288262
-16.6631579, 13.7817959, -0.9314300
-16.5448979, 13.6221355, -0.9353496
-16.4261372, 13.4602383, -0.9406792
-16.3092314, 13.2988538, -0.9473228
-16.1930559, 13.1359678, -0.9554080
-16.0785093, 12.9723350, -0.9649527
-15.9657397, 12.8076562, -0.9760156
-15.8546560, 12.6412386, -0.9886868
-15.7462717, 12.4740358, -1.0029350
-15.6398542, 12.3042943, -1.0189633
-15.5369903, 12.1339081, -1.0366390
-15.4365724, 11.9603360, -1.0562938
-15.3403998, 11.7859325, -1.0777305
-15.2476158, 11.6083389, -1.1013200
-15.1596776, 11.4294351, -1.1269209
-15.0762048, 11.2474991, -1.1546651
-14.9982304, 11.0638833, -1.1840531
-14.9256295, 10.8774905, -1.2146421
-14.8588508, 10.6894079, -1.2444854
-14.7975400, 10.4991345, -1.2734794
-14.7417217, 10.3074499, -1.3011622
-14.6910513, 10.1141305, -1.3275637
-14.6454318, 9.9197016, -1.3529342
-14.6046742, 9.7242530, -1.3773402
-14.5686001, 9.5278202, -1.4008361
-14.5371153, 9.3310287, -1.4234376
-14.5100277, 9.1330436, -1.4462229
-14.4874963, 8.9349422, -1.4687820
-14.4693323, 8.7358387, -1.4907411
-14.4554860, 8.5365916, -1.5119395
-14.4457658, 8.3370493, -1.5321349
-14.4399740, 8.1371695, -1.5513615
-14.4379317, 7.9376381, -1.5696076
-14.4394524, 7.7373620, -1.5870227
-14.4443357, 7.5381605, -1.6034384
